fueltype,doornumber,carbody,wheelbase,horsepower,price,price_inr
gas,two,convertible,88.6,111,13495.0,1160570.0
gas,two,convertible,88.6,111,16500.0,1419000.0
gas,two,hatchback,94.5,154,16500.0,1419000.0
gas,four,sedan,99.8,102,13950.0,1199700.0
gas,four,sedan,99.4,115,17450.0,1500700.0
gas,two,sedan,99.8,110,15250.0,1311500.0
gas,four,sedan,105.8,110,17710.0,1523060.0
gas,four,wagon,105.8,110,18920.0,1627120.0
gas,four,sedan,105.8,140,23875.0,2053250.0
gas,two,hatchback,99.5,160,17859.167,1535888.3620000002
gas,two,sedan,101.2,101,16430.0,1412980.0
gas,four,sedan,101.2,101,16925.0,1455550.0
gas,two,sedan,101.2,121,20970.0,1803420.0
gas,four,sedan,101.2,121,21105.0,1815030.0
gas,four,sedan,103.5,121,24565.0,2112590.0
gas,four,sedan,103.5,182,30760.0,2645360.0
gas,two,sedan,103.5,182,41315.0,3553090.0
gas,four,sedan,110.0,182,36880.0,3171680.0
gas,two,hatchback,88.4,48,5151.0,442986.0
gas,two,hatchback,94.5,70,6295.0,541370.0
gas,four,sedan,94.5,70,6575.0,565450.0
gas,two,hatchback,93.7,68,5572.0,479192.0
gas,two,hatchback,93.7,68,6377.0,548422.0
gas,two,hatchback,93.7,102,7957.0,684302.0
gas,four,hatchback,93.7,68,6229.0,535694.0
gas,four,sedan,93.7,68,6692.0,575512.0
gas,four,sedan,93.7,68,7609.0,654374.0
gas,two,sedan,93.7,102,8558.0,735988.0
gas,four,wagon,103.3,88,8921.0,767206.0
gas,two,hatchback,95.9,145,12964.0,1114904.0
gas,two,hatchback,86.6,58,6479.0,557194.0
gas,two,hatchback,86.6,76,6855.0,589530.0
gas,two,hatchback,93.7,60,5399.0,464314.0
gas,two,hatchback,93.7,76,6529.0,561494.0
gas,two,hatchback,93.7,76,7129.0,613094.0
gas,four,sedan,96.5,76,7295.0,627370.0
gas,four,wagon,96.5,76,7295.0,627370.0
gas,two,hatchback,96.5,86,7895.0,678970.0
gas,two,hatchback,96.5,86,9095.0,782170.0
gas,four,sedan,96.5,86,8845.0,760670.0
gas,four,sedan,96.5,86,10295.0,885370.0
gas,four,sedan,96.5,101,12945.0,1113270.0
gas,two,sedan,96.5,100,10345.0,889670.0
gas,four,sedan,94.3,78,6785.0,583510.0
gas,two,sedan,94.5,70,8916.5,766819.0
gas,four,sedan,94.5,70,8916.5,766819.0
gas,two,hatchback,96.0,90,11048.0,950128.0
gas,four,sedan,113.0,176,32250.0,2773500.0
gas,four,sedan,113.0,176,35550.0,3057300.0
gas,two,sedan,102.0,262,36000.0,3096000.0
gas,two,hatchback,93.1,68,5195.0,446770.0
gas,two,hatchback,93.1,68,6095.0,524170.0
gas,two,hatchback,93.1,68,6795.0,584370.0
gas,four,sedan,93.1,68,6695.0,575770.0
gas,four,sedan,93.1,68,7395.0,635970.0
gas,two,hatchback,95.3,101,10945.0,941270.0
gas,two,hatchback,95.3,101,11845.0,1018670.0
gas,two,hatchback,95.3,101,13645.0,1173470.0
gas,two,hatchback,95.3,135,15645.0,1345470.0
gas,two,hatchback,98.8,84,8845.0,760670.0
gas,four,sedan,98.8,84,8495.0,730570.0
gas,two,hatchback,98.8,84,10595.0,911170.0
gas,four,sedan,98.8,84,10245.0,881070.0
diesel,four,sedan,98.8,64,10795.0,928370.0
gas,four,hatchback,98.8,84,11245.0,967070.0
gas,four,sedan,104.9,120,18280.0,1572080.0
diesel,four,sedan,104.9,72,18344.0,1577584.0
diesel,four,sedan,110.0,123,25552.0,2197472.0
diesel,four,wagon,110.0,123,28248.0,2429328.0
diesel,two,hardtop,106.7,123,28176.0,2423136.0
diesel,four,sedan,115.6,123,31600.0,2717600.0
gas,four,sedan,115.6,155,34184.0,2939824.0
gas,two,convertible,96.6,155,35056.0,3014816.0
gas,four,sedan,120.9,184,40960.0,3522560.0
gas,two,hardtop,112.0,184,45400.0,3904400.0
gas,two,hatchback,102.7,175,16503.0,1419258.0
gas,two,hatchback,93.7,68,5389.0,463454.0
gas,two,hatchback,93.7,68,6189.0,532254.0
gas,two,hatchback,93.7,68,6669.0,573534.0
gas,two,hatchback,93.0,102,7689.0,661254.0
gas,two,hatchback,96.3,116,9959.0,856474.0
gas,two,hatchback,96.3,88,8499.0,730914.0
gas,two,hatchback,95.9,145,12629.0,1086094.0
gas,two,hatchback,95.9,145,14869.0,1278734.0
gas,two,hatchback,95.9,145,14489.0,1246054.0
gas,four,sedan,96.3,88,6989.0,601054.0
gas,four,sedan,96.3,88,8189.0,704254.0
gas,four,sedan,96.3,116,9279.0,797994.0
gas,four,sedan,96.3,116,9279.0,797994.0
gas,two,sedan,94.5,69,5499.0,472914.0
diesel,two,sedan,94.5,55,7099.0,610514.0
gas,two,sedan,94.5,69,6649.0,571814.0
gas,four,sedan,94.5,69,6849.0,589014.0
gas,four,wagon,94.5,69,7349.0,632014.0
gas,two,sedan,94.5,69,7299.0,627714.0
gas,two,hatchback,94.5,69,7799.0,670714.0
gas,four,sedan,94.5,69,7499.0,644914.0
gas,four,wagon,94.5,69,7999.0,687914.0
gas,two,hardtop,95.1,69,8249.0,709414.0
gas,four,hatchback,97.2,97,8949.0,769614.0
gas,four,sedan,97.2,97,9549.0,821214.0
gas,four,sedan,100.4,152,13499.0,1160914.0
gas,four,wagon,100.4,152,14399.0,1238314.0
gas,four,sedan,100.4,152,13499.0,1160914.0
gas,two,hatchback,91.3,160,17199.0,1479114.0
gas,two,hatchback,91.3,200,19699.0,1694114.0
gas,two,hatchback,99.2,160,18399.0,1582314.0
gas,four,sedan,107.9,97,11900.0,1023400.0
diesel,four,sedan,107.9,95,13200.0,1135200.0
gas,four,wagon,114.2,97,12440.0,1069840.0
diesel,four,wagon,114.2,95,13860.0,1191960.0
gas,four,sedan,107.9,95,15580.0,1339880.0
diesel,four,sedan,107.9,95,16900.0,1453400.0
gas,four,wagon,114.2,95,16695.0,1435770.0
diesel,four,wagon,114.2,95,17075.0,1468450.0
gas,four,sedan,107.9,97,16630.0,1430180.0
diesel,four,sedan,107.9,95,17950.0,1543700.0
gas,four,sedan,108.0,142,18150.0,1560900.0
gas,two,hatchback,93.7,68,5572.0,479192.0
gas,two,hatchback,93.7,102,7957.0,684302.0
gas,four,hatchback,93.7,68,6229.0,535694.0
gas,four,sedan,93.7,68,6692.0,575512.0
gas,four,sedan,93.7,68,7609.0,654374.0
gas,four,wagon,103.3,88,8921.0,767206.0
gas,two,hatchback,95.9,145,12764.0,1097704.0
gas,two,hatchback,94.5,143,22018.0,1893548.0
gas,two,hardtop,89.5,207,32528.0,2797408.0
gas,two,hardtop,89.5,207,34028.0,2926408.0
gas,two,convertible,89.5,207,37028.0,3184408.0
gas,two,hatchback,98.4,288,31400.5,2700443.0
gas,four,wagon,96.1,90,9295.0,799370.0
gas,two,hatchback,96.1,90,9895.0,850970.0
gas,two,hatchback,99.1,110,11850.0,1019100.0
gas,four,sedan,99.1,110,12170.0,1046620.0
gas,two,hatchback,99.1,110,15040.0,1293440.0
gas,four,sedan,99.1,110,15510.0,1333860.0
gas,two,hatchback,99.1,160,18150.0,1560900.0
gas,four,sedan,99.1,160,18620.0,1601320.0
gas,two,hatchback,93.7,69,5118.0,440148.0
gas,two,hatchback,93.7,73,7053.0,606558.0
gas,two,hatchback,93.3,73,7603.0,653858.0
gas,four,sedan,97.2,82,7126.0,612836.0
gas,four,sedan,97.2,82,7775.0,668650.0
gas,four,sedan,97.2,94,9960.0,856560.0
gas,four,sedan,97.0,82,9233.0,794038.0
gas,four,sedan,97.0,111,11259.0,968274.0
gas,four,wagon,97.0,82,7463.0,641818.0
gas,four,wagon,97.0,94,10198.0,877028.0
gas,four,wagon,96.9,82,8013.0,689118.0
gas,four,wagon,96.9,111,11694.0,1005684.0
gas,two,hatchback,95.7,62,5348.0,459928.0
gas,two,hatchback,95.7,62,6338.0,545068.0
gas,four,hatchback,95.7,62,6488.0,557968.0
gas,four,wagon,95.7,62,6918.0,594948.0
gas,four,wagon,95.7,62,7898.0,679228.0
gas,four,wagon,95.7,62,8778.0,754908.0
gas,four,sedan,95.7,70,6938.0,596668.0
gas,four,hatchback,95.7,70,7198.0,619028.0
diesel,four,sedan,95.7,56,7898.0,679228.0
diesel,four,hatchback,95.7,56,7788.0,669768.0
gas,four,sedan,95.7,70,7738.0,665468.0
gas,four,hatchback,95.7,70,8358.0,718788.0
gas,four,sedan,95.7,70,9258.0,796188.0
gas,two,sedan,94.5,70,8058.0,692988.0
gas,two,hatchback,94.5,70,8238.0,708468.0
gas,two,sedan,94.5,112,9298.0,799628.0
gas,two,hatchback,94.5,112,9538.0,820268.0
gas,two,hardtop,98.4,116,8449.0,726614.0
gas,two,hardtop,98.4,116,9639.0,828954.0
gas,two,hatchback,98.4,116,9989.0,859054.0
gas,two,hardtop,98.4,116,11199.0,963114.0
gas,two,hatchback,98.4,116,11549.0,993214.0
gas,two,convertible,98.4,116,17669.0,1519534.0
gas,four,sedan,102.4,92,8948.0,769528.0
diesel,four,sedan,102.4,73,10698.0,920028.0
gas,four,hatchback,102.4,92,9988.0,858968.0
gas,four,sedan,102.4,92,10898.0,937228.0
gas,four,hatchback,102.4,92,11248.0,967328.0
gas,two,hatchback,102.9,161,16558.0,1423988.0
gas,two,hatchback,102.9,161,15998.0,1375828.0
gas,four,sedan,104.5,156,15690.0,1349340.0
gas,four,wagon,104.5,156,15750.0,1354500.0
diesel,two,sedan,97.3,52,7775.0,668650.0
gas,two,sedan,97.3,85,7975.0,685850.0
diesel,four,sedan,97.3,52,7995.0,687570.0
gas,four,sedan,97.3,85,8195.0,704770.0
gas,four,sedan,97.3,85,8495.0,730570.0
diesel,four,sedan,97.3,68,9495.0,816570.0
gas,four,sedan,97.3,100,9995.0,859570.0
gas,two,convertible,94.5,90,11595.0,997170.0
gas,two,hatchback,94.5,90,9980.0,858280.0
gas,four,sedan,100.4,110,13295.0,1143370.0
diesel,four,sedan,100.4,68,13845.0,1190670.0
gas,four,wagon,100.4,88,12290.0,1056940.0
gas,four,sedan,104.3,114,12940.0,1112840.0
gas,four,wagon,104.3,114,13415.0,1153690.0
gas,four,sedan,104.3,114,15985.0,1374710.0
gas,four,wagon,104.3,114,16515.0,1420290.0
gas,four,sedan,104.3,162,18420.0,1584120.0
gas,four,wagon,104.3,162,18950.0,1629700.0
gas,four,sedan,109.1,114,16845.0,1448670.0
gas,four,sedan,109.1,160,19045.0,1637870.0
gas,four,sedan,109.1,134,21485.0,1847710.0
diesel,four,sedan,109.1,106,22470.0,1932420.0
gas,four,sedan,109.1,114,22625.0,1945750.0
